time_ms,voltage_mv
319.90000000000003,-51.57532670778051
320.0,-51.51759452497395
320.09999999999997,-51.460150282630394
320.20000000000005,-51.40299254464078
320.3,-51.3461198820587
320.40000000000003,-51.28953087306461
320.5,-51.233224102930336
320.59999999999997,-51.17719816398371
320.70000000000005,-51.121451655573324
320.8,-51.06598318403357
320.90000000000003,-51.01079136264977
321.0,-50.95587481162352
321.09999999999997,-50.90123215803818
321.20000000000005,-50.84686203582456
321.3,-50.792763085726776
321.40000000000003,-50.73893395526826
321.5,-50.68537329871794
321.59999999999997,-50.63207977705663
321.70000000000005,-50.57905205794349
321.8,-50.526288815682804
321.90000000000003,-50.473788731190744
322.0,-50.42155049196248
322.09999999999997,-50.3695727920393
322.20000000000005,-50.31785433197601
322.3,-50.26639381880841
322.40000000000003,-50.215189966020986
322.5,-50.164241493514744
322.59999999999997,-50.11354712757524
322.70000000000005,-50.063105600840665
322.8,-50.01291565227024
322.90000000000003,-65.0
323.0,-65.0
323.09999999999997,-65.0
323.20000000000005,-65.0
323.3,-65.0
323.40000000000003,-65.0
323.5,-65.0
323.59999999999997,-65.0
323.70000000000005,-65.0
323.8,-65.0
323.90000000000003,-65.0
324.0,-65.0
324.09999999999997,-65.0
324.2,-65.0
324.3,-65.0
324.40000000000003,-65.0
324.5,-65.0
324.59999999999997,-65.0
324.7,-65.0
324.8,-65.0
324.90000000000003,-64.87531197981706
325.0,-64.75124584372918
325.09999999999997,-64.62779849007654
325.2,-64.50496683266887
325.3,-64.38274780070829
325.40000000000003,-64.2611383387127
325.5,-64.14013540643914
325.59999999999997,-64.01973597880806
325.7,-63.89993704582747
325.8,-63.780735612517816
325.90000000000003,-63.66212869883705
326.0,-63.54411333960616
326.09999999999997,-63.42668658443504
326.2,-63.309845497648645
326.3,-63.19358715821377
326.40000000000003,-63.07790865966584
326.5,-62.96280711003638
326.6,-62.848279631780635
326.7,-62.7343233617057
326.8,-62.620935450898905
326.90000000000003,-62.50811306465656
327.0,-62.39585338241312
327.1,-62.284153597670695
327.2,-62.17301091792885
327.3,-62.0624225646148
327.40000000000003,-61.952385773013944
327.5,-61.84289779220077
327.6,-61.73395588497005
327.7,-61.62555732776844
327.8,-61.517699410626356
327.90000000000003,-61.41037943709025
328.0,-61.30359472415519
328.1,-61.1973426021978
328.2,-61.09162041490949
328.3,-60.98642551923008
328.40000000000003,-60.881755285281706
328.5,-60.77760709630304
328.6,-60.673978348583965
328.7,-60.57086645140036
328.8,-60.46826882694944
328.90000000000003,-60.36618291028526
329.0,-60.26460614925457
329.1,-60.16353600443307
329.2,-60.06296994906186
329.3,-59.96290546898432
329.40000000000003,-59.86334006258324
329.5,-59.76427124071828
329.6,-59.66569652666372
329.7,-59.567613456046594
329.8,-59.470019576785006
329.90000000000003,-59.372912449026906
330.0,-59.27628964508904
330.1,-59.180148749396274
330.2,-59.084487358421214
330.3,-58.9893030806241
330.40000000000003,-58.89459353639302
330.5,-58.80035635798445
330.6,-58.70658918946402
330.7,-58.61328968664762
330.8,-58.520455517042826
330.90000000000003,-58.428084359790574
331.0,-58.33617390560711
331.1,-58.2447218567263
331.2,-58.15372592684216
331.3,-58.06318384105168
331.40000000000003,-57.97309333579803
331.5,-57.883452158813874
331.6,-57.794258069065116
