time_s,E_uM,S_uM,ES_uM,P_uM,P_reduced_uM
17.7,8.00746155111017,42.05583036426007,11.992538448889816,45.95163118642608,50.0034903173371
17.8,8.0305162109822,41.83926467147728,11.969483789017787,46.191251539080895,50.25324904146233
17.900000000000002,8.053648810680148,41.62323879122989,11.946351189319838,46.43041001902623,50.5025369321636
18.0,8.076859404290284,41.40775433655501,11.923140595709702,46.66910506731126,50.751351927660565
18.1,8.100148042021269,41.19281291816821,11.899851957978717,46.907335123429036,50.99969195913078
18.2,8.12351477017613,40.97841614383624,11.876485229823857,47.145098625915864,51.24755495160043
18.3,8.146959631099367,40.764565618219464,11.853040368900619,47.38239401245588,51.49493882215829
18.400000000000002,8.170482662937392,40.55126294232958,11.829517337062594,47.619219720183786,51.74184148105795
18.5,8.194083899407833,40.33850971293893,11.805916100592153,47.855574186044876,51.98826083193585
18.6,8.217763370764978,40.12630752515514,11.782236629235008,48.091455845185806,52.23419477181126
18.7,8.24152110280061,39.91465796979673,11.758478897199376,48.32686313257985,52.47964119108629
18.8,8.265357117060466,39.70356263398556,11.73464288293952,48.561794482650875,52.7245979735459
18.900000000000002,8.289271430791054,39.49302310102596,11.710728569208932,48.79624832934106,52.96906299635787
19.0,8.31326405688649,39.28304095028369,11.686735943113495,49.030223106178774,53.21303413007283
19.1,8.337335003409596,39.07361775556024,11.66266499659039,49.263717247425326,53.45650923862425
19.200000000000003,8.361484273204352,38.86475508379014,11.638515726795633,49.49672918899019,53.69948617932843
19.3,8.385711866244183,38.65645450340758,11.614288133755803,49.729257362412575,53.941962802906595
19.400000000000002,8.41001777716602,38.4487175756978,11.589982222833966,49.96130020104419,54.18393695483651
19.5,8.434401995946569,38.241545857254266,11.565598004053417,50.192856138268276,54.425406473819066
19.6,8.4588645078472,38.03494089985075,11.541135492152787,50.42392360757242,54.666369191991514
19.700000000000003,8.48340529335882,37.828904250313556,11.516594706641166,50.654501042621234,54.90682293579435
19.8,8.508024327611285,37.62343744811254,11.4919756723887,50.88458687907472,55.14676552597133
19.900000000000002,8.532721579823399,37.418542023125035,11.467278420176585,51.11417955627434,55.38619477756951
20.0,8.557497016478415,37.21421950927026,11.44250298352157,51.34327750678413,55.62510849993918
20.1,8.582350598031887,37.010471430591885,11.417649401968097,51.57187916701597,55.86350449673394
20.200000000000003,8.607282279835692,36.80729930530131,11.392717720164292,51.79998297411035,56.10138056591062
20.3,8.63229201207948,36.60470464563516,11.367707987920504,52.0275873660203,56.338734499729334
20.400000000000002,8.657379739732125,36.40268895771271,11.342620260267859,52.254690781595386,56.57556408475349
20.5,8.682545402320125,36.20125373954409,11.317454597679859,52.481291662352,56.81186710206702
20.6,8.707788933687151,36.00040047882426,11.292211066312833,52.70738845443886,57.047641328890045
20.700000000000003,8.733110262995512,35.80013066481466,11.266889737004472,52.93297959775683,57.28288453604192
20.8,8.758509313617997,35.60044577629485,11.241490686381987,53.15806353689912,57.51759448937539
20.900000000000002,8.783986003395434,35.40134728500548,11.21601399660455,53.382638717965925,57.75176895025418
21.0,8.809540244576983,35.20283665549297,11.190459755423001,53.60670358865998,57.98540567555289
21.1,8.835171943760475,35.00491534495418,11.164828056239509,53.83025659838227,58.218502417657135
21.200000000000003,8.860881001817061,34.80758480182401,11.139118998182923,54.05329619956903,58.451056924463415
21.3,8.886667313810735,34.61084646394839,11.11333268618925,54.27582084943832,58.683066939379195
21.400000000000002,8.912530769048448,34.414701767249454,11.087469230951536,54.49782900137497,58.91453020132289
21.5,8.93847125091305,34.219152136944636,11.061528749086934,54.71931911354439,59.14544444472384
21.6,8.96448863683579,34.02419898997627,11.035511363164193,54.940289646435495,59.37580739962017
21.700000000000003,8.990582798236513,33.82984373484719,11.00941720176347,55.160739062965305,59.60561679358843
21.8,9.016753600463874,33.63608777145625,10.98324639953611,55.380665828583595,59.834870349345834
21.900000000000002,9.043000902820618,33.44293249005102,10.956999097179366,55.600068412345564,60.06356578577006
22.0,9.06932455863685,33.250379269682824,10.930675441363134,55.818945288529996,60.29170081874854
22.1,9.095724414565314,33.05842948473365,10.90427558543467,56.03729492940763,60.51927316117847
22.200000000000003,9.122200311144852,32.86708449828508,10.877799688855132,56.25511581243575,60.74628052296681
22.3,9.148752082554704,32.67634566388267,10.85124791744528,56.472406418248006,60.97272061103027
22.400000000000002,9.175379556555368,32.486214325364756,10.824620443444616,56.689165230766584,61.19859112929534
22.5,9.20208255442944,32.296691816691286,10.797917445570544,56.90539073731412,61.423889778698246
22.6,9.22886089106796,32.107779460960366,10.771139108932024,57.12108142968357,61.648614257185
