time_ms,voltage_mV,m,h,n
18.75,-69.31667782253253,0.030036583013972513,0.3951449763879548,0.46168699544740543
18.775,-69.26501549983146,0.030222670628816804,0.3961451103751544,0.4607725190576036
18.8,-69.21327603857002,0.030410161342153484,0.39713736062554694,0.45986498630031153
18.825000000000003,-69.16146195155599,0.03059905746008102,0.39812174752606033,0.45896437773051674
18.85,-69.10957575152882,0.030789361162070338,0.3990982914598056,0.4580706738773352
18.875,-69.05761995047472,0.030981074500113937,0.4000670128058419,0.4571838552429248
18.9,-69.00559705894153,0.031174199397933665,0.4010279319389433,0.4563039023014316
18.925,-68.95350958535333,0.03136873765024816,0.4019810692293661,0.4554307954979688
18.950000000000003,-68.90136003532523,0.03156469092210165,0.40292644504261704,0.45456451524762953
18.975,-68.8491509109786,0.03176206074825567,0.4038640797392233,0.45370504193453354
19.0,-68.79688471025712,0.031960848532644644,0.4047939936745027,0.4528523559109078
19.025,-68.74456392624391,0.03216105554789709,0.4057162071983342,0.452006437496203
19.05,-68.69219104648002,0.03236268293492337,0.40663074065492893,0.45116726697624565
19.075000000000003,-68.63976855228461,0.032565731702571536,0.40753761438260167,0.45033482460242547
19.1,-68.58729891807717,0.03277020272735247,0.4084368487135415,0.44950909059092015
19.125,-68.53478461070203,0.032976096753235526,0.4093284639735837,0.44869004512195576
19.15,-68.48222808875546,0.03318341439151562,0.410212480481979,0.4478776683391063
19.175,-68.42963180191575,0.03339215612075312,0.41108891855116375,0.4470719403486293
19.200000000000003,-68.37699819027637,0.03360232228678748,0.4119577984865279,0.44627284121884114
19.225,-68.32432968368289,0.03381391310282579,0.41281914058618174,0.4454803509795301
19.25,-68.27162870107345,0.034026928649607116,0.41367296514072194,0.4446944496214078
19.275,-68.21889764982353,0.034241368875643316,0.4145192924329939,0.4439151170956017
19.3,-68.16613892509498,0.03445723359753783,0.4153581427378529,0.4431423333131854
19.325000000000003,-68.11335490918998,0.03467452250038248,0.41618953632192135,0.4423760781447505
19.35,-68.06054797090964,0.034893235138233746,0.41701349344334443,0.44161633142001727
19.375,-68.00772046491822,0.03511337093466905,0.4178300343515409,0.4408630729274868
19.4,-67.95487473111268,0.03533492918342316,0.4186391792869508,0.44011628241413375
19.425,-67.90201309399808,0.03555790904910624,0.4194409484807784,0.4393759395851401
19.450000000000003,-67.84913786206923,0.03578230956800326,0.42023536215472984,0.4386420241036701
19.475,-67.79625132719848,0.03600812964895589,0.4210224405207473,0.43791451559068695
19.5,-67.74335576403034,0.036235368074326965,0.42180220378073635,0.43719339362481047
19.525,-67.69045342938293,0.03646402350104779,0.42257467212628747,0.4364786377422173
19.55,-67.63754656165646,0.03669409446174906,0.4233398657383912,0.4357702274365829
19.575000000000003,-67.58463738024938,0.03692557936597484,0.42409780478714626,0.43506814215906525
19.6,-67.53172808498181,0.03715847650148087,0.42484850943146063,0.43437236131833123
19.625,-67.47882085552716,0.037392784035616376,0.42559199981874474,0.4336828642806242
19.65,-67.42591785085168,0.037628500016789836,0.4263282960845961,0.4329996303698753
19.675,-67.37302120866238,0.037865622376018704,0.4270574183524755,0.4323226388678559
19.700000000000003,-67.32013304486357,0.03810414892856287,0.42777938673337357,0.4316518690143729
19.725,-67.26725545302199,0.03834407737564182,0.42849422132546794,0.43098730000750646
19.75,-67.21439050384107,0.03858540530623555,0.42920194221377056,0.4303289110038888
19.775,-67.1615402446443,0.03882813019896836,0.4299025694697637,0.4296766811190271
19.8,-67.10870669886783,0.03907224942407565,0.43059612315102513,0.4290305894276667
19.825000000000003,-67.05589186556284,0.0393177602454534,0.4312826233008416,0.4283906149641975
19.85,-67.00309771890734,0.0395646598227894,0.43196208994781043,0.42775673672310205
19.875,-66.95032620772797,0.039812945213776575,0.43263454310542865,0.4271289336594441
19.9,-66.89757925503187,0.040062613376406646,0.43330000277166836,0.42650718468940085
19.925,-66.84485875754854,0.04031366117134469,0.43395848892854,0.42589146869083455
19.950000000000003,-66.79216658528216,0.04056608536438287,0.4346100215416397,0.4252817645039067
19.975,-66.73950458107431,0.040819882628973826,0.4352546205596841,0.4246780509317324
20.0,-66.68687456017712,0.04107504954884131,0.4358923059140294,0.4240803067410749
20.025,-66.63427830983719,0.04133158262066887,0.4365230975181749,0.4234885106630819
20.05,-66.58171758889024,0.04158947825686444,0.4371470152672514,0.42290264139406053
20.075000000000003,-66.52919412736668,0.04184873278840045,0.4377640790374924,0.4223226775962931
20.1,-66.47670962610782,0.042109342467728426,0.43837430868569005,0.4217485978988915
20.125,-66.42426575639347,0.04237130347176697,0.4389777240486326,0.42118038089869103
20.15,-66.37186415958026,0.042634611904961976,0.43957434494252556,0.4206180051611827
20.175,-66.31950644675123,0.04289926380241779,0.44016419116239397,0.4200614492214842
20.200000000000003,-66.2671941983765,0.04316525513309852,0.44074728248146666,0.4195106915853484
20.225,-66.21492896398517,0.04343258180309803,0.44132363865054225,0.4189657107302094
20.25,-66.16271226184821,0.04370123965897753,0.4418932793973354,0.4184264851062653
20.275,-66.11054557867277,0.043971224491168914,0.44245622442580423,0.4178929931375978
20.3,-66.05843036930744,0.04424253203744365,0.4430124934154572,0.4173652132233281
20.325000000000003,-66.0063680564589,0.04451515798644443,0.4435621060206399,0.4168431237388077
20.35,-65.95436003041942,0.04478909798127964,0.44410508186980185,0.416326703036845
20.375,-65.90240764880573,0.045064347623178305,0.44464144056474203,0.41581592944896534
20.4,-65.85051223630869,0.04534090247520427,0.4451712016798326,0.4153107812867065
20.425,-65.79867508445402,0.0456187580660287,0.4456943847612221,0.4148112368429463
20.450000000000003,-65.74689745137402,0.045897909893758616,0.4462110093260158,0.4143172743932643
20.475,-65.69518056158991,0.046178353429820816,0.4467210948614343,0.413828872197335
20.5,-65.64352560580498,0.04646008412289943,0.4472246608239497,0.4133460085003528
20.525,-65.59193374070841,0.04674309740292537,0.4477217266383987,0.41286866153448865
20.55,-65.54040608878942,0.047027388685116765,0.44821231169707293,0.4123968095203771
20.575000000000003,-65.48894373816185,0.0473129533740684,0.4486964353587852,0.4119304306686334
20.6,-65.43754774239896,0.047599786867889175,0.449174116947913,0.4114695031813998
20.625,-65.38621912037827,0.04788788456238599,0.44964537575341784,0.4110140052539205
20.65,-65.3349588561362,0.048177241855292464,0.45011023102784,0.4105639150761456
20.675,-65.28376789873252,0.048467854150541494,0.45056870198626936,0.41011921083436154
20.700000000000003,-65.23264716212425,0.0487597168625797,0.4510208078052915,0.4096798707128493
20.725,-65.18159752504896,0.04905282542072316,0.4514665676219085,0.40924587289556863
20.75,-65.13061983091694,0.04934717527355267,0.45190600053243546,0.408817195567868
20.775,-65.07971488771261,0.0496427618933472,0.45233912559137096,0.4083938169182195
20.8,-65.02888346790418,0.04993958078055474,0.4527659618102423,0.40797571513997866
20.825000000000003,-64.97812630836208,0.05023762746829861,0.4531865281564244,0.40756286843316775
20.85,-64.92744411028521,0.05053689752691911,0.45360084355193375,0.40715525500628286
20.875,-64.87683753913528,0.050837386568548575,0.4540089268721953,0.40675285307812253
20.9,-64.82630722457863,0.05113909025171929,0.45441079694478315,0.4063556408796401
20.925,-64.77585376043544,0.0514420042860029,0.4548064725481344,0.40596359665581616
20.950000000000003,-64.72547770463585,0.05174612443668077,0.4551959724102366,0.4055766986675527
20.975,-64.67517957918295,0.05205144652944431,0.4555793152072876,0.4051949251935873
21.0,-64.6249598701219,0.05235796645512468,0.45595651956232847,0.40481825453242704
21.025,-64.5748190275153,0.05266568017445068,0.45632760404384837,0.40444666500430215
21.05,-64.52475746542427,0.0529745837228348,0.4566925871643624,0.40408013495313744
21.075000000000003,-64.47477556189475,0.05328467321518651,0.45705148737896056,0.40371864274854324
21.1,-64.42487365894887,0.05359594485075267,0.4574043230838292,0.4033621667878228
21.125,-64.37505206258098,0.05390839491798454,0.4577511126147436,0.40301068549799723
21.15,-64.32531104275789,0.05422201979943092,0.4580918742455315,0.40266417733784793
21.175,-64.27565083342293,0.054536815976657924,0.4584266261865082,0.4023226207999742
21.200000000000003,-64.22607163250362,0.054852780035194386,0.4587553865828818,0.4019859944128674
21.225,-64.17657360192216,0.05516990866950407,0.4590781735131289,0.4016542767430004
21.25,-64.12715686760869,0.05548819868798407,0.4593950049873407,0.40132744639693196
21.275,-64.07782151951676,0.055807647017989896,0.4597058989455381,0.4010054820234256
21.3,-64.02856761164044,0.05612825071088785,0.46001087325595674,0.40068836231558363
21.325000000000003,-63.97939516203288,0.056450006947134944,0.4603099457133009,0.4003760660129943
21.35,-63.93030415282563,0.05677291304138739,0.4606031340369656,0.400068571903893
21.375,-63.88129453024833,0.05709696644763834,0.46089045586922767,0.39976585882733706
21.4,-63.832366204648395,0.05742216476438554,0.4611719287734034,0.3994679056753937
21.425,-63.78351905051,0.05774850573983045,0.46144757023197486,0.39917469139534084
21.450000000000003,-63.734752906472124,0.05807598727710972,0.46171739764468156,0.3988861949918812
21.475,-63.68606757534485,0.05840460743956074,0.46198142832657946,0.39860239552936866
21.5,-63.63746282412367,0.05873436445602269,0.46223967950606526,0.3983232721340474
21.525,-63.58893838400114,0.05906525672617454,0.4624921683228658,0.39804880399630344
21.55,-63.54049395037527,0.05939728282591235,0.4627389118259919,0.3977789703729292
21.575000000000003,-63.49212918285439,0.059730441512767456,0.4629799269716564,0.39751375058940003
21.6,-63.443843705257535,0.060064731731368406,0.46321523062115466,0.3972531240421632
21.625,-63.395637105610035,0.06040015261894837,0.4634448395387084,0.3969970702009399
21.65,-63.34750893613378,0.06073670351090111,0.46366877038927046,0.3967455686110399
21.675,-63.299458713231296,0.06107438394638817,0.4638870397362906,0.3964985988956888
21.700000000000003,-63.25148591746335,0.061413193674000055,0.4640996640394411,0.39625614075836857
21.725,-63.20358999351915,0.06175313265747503,0.4643066596523017,0.3960181739851718
21.75,-63.1557703501788,0.06209420108147888,0.4645080428200026,0.3957846784471686
21.775,-63.10802636026713,0.0624363993574488,0.46470382967682344,0.3955556341027885
21.8,-63.060357360598395,0.06277972812950587,0.46489403624375025,0.3953310210002162
21.825000000000003,-63.012762651911146,0.06312418828043966,0.4650786784259847,0.3951108192798024
21.85,-62.96524149879252,0.06346978093776996,0.4652577720104092,0.39489500917648945
21.875,-62.91779312959125,0.06381650747988973,0.46543133266300246,0.3946835710222534
21.9,-62.87041673631883,0.06416436954229388,0.46559937592620754,0.39447648524856205
21.925,-62.82311147453787,0.06451336902389977,0.46576191721624816,0.39427373238885055
21.950000000000003,-62.7758764632371,0.06486350809346388,0.46591897182039377,0.3940752930810144
21.975,-62.72871078469206,0.06521478919610094,0.46607055489417104,0.3938811480699212
22.0,-62.68161348431087,0.0655672150599115,0.46621668145852,0.39369127820994193
22.025,-62.634583570464116,0.06592078870272342,0.46635736639689346,0.39350566446750235
22.05,-62.587620014298075,0.06627551343895459,0.4664926244522973,0.39332428792365587
22.075000000000003,-62.54072174953055,0.06663139288660329,0.46662247022427067,0.3931471297766789
22.1,-62.493887672228155,0.06698843097437386,0.4667469181658031,0.3929741713446892
22.125,-62.44711664056442,0.06734663194894476,0.4668659825801873,0.39280539406828896
22.15,-62.40040747455759,0.06770600038238678,0.4669796776178043,0.39264077951323406
22.175,-62.35375895578738,0.06806654117974062,0.46708801727283994,0.39248030937313044
22.200000000000003,-62.3071698270894,0.06842825958676105,0.4671910153799292,0.39232396547215853
22.225,-62.26063879222654,0.06879116119783817,0.4672886856107264,0.3921717297678286
22.25,-62.214164515535934,0.06915525196410431,0.46738104147039816,0.39202358435376716
22.275,-62.16774562155084,0.06952053820173669,0.4674680962940369,0.39187951146253686
22.3,-62.1213806945959,0.0698870266004664,0.46754986324299136,0.3917394934684915
22.325000000000003,-62.07506827835484,0.07025472423230411,0.467626355301111,0.39160351289066814
22.35,-62.028806875409366,0.07062363856049463,0.46769758527090194,0.39147155239571746
22.375,-61.982594946748016,0.07099377744871145,0.4677635657695895,0.3913435948008759
22.4,-61.93643091124366,0.07136514917050361,0.4678243092250856,0.39121962307698016
22.425,-61.89031314509833,0.07173776241900864,0.4678798278718558,0.3910996203515276
22.450000000000003,-61.84423998125394,0.07211162631694397,0.4679301337466824,0.39098356991178373
22.475,-61.798209708767544,0.07248675042689218,0.4679752386843208,0.3908714552079404
22.5,-61.75222057214954,0.07286314476189405,0.46801515431304236,0.39076325985632665
22.525,-61.70627077066329,0.07324081979636508,0.46804989205006203,0.39065896764267505
22.55,-61.660358457584586,0.0736197864773518,0.4680794630968438,0.3905585625254464
22.575000000000003,-61.61448173941917,0.07400005623614464,0.4681038784342802,0.39046202863921636
22.6,-61.56863867507662,0.07438164100026524,0.4681231488177409,0.390369350298126
22.625,-61.522827274998725,0.07476455320584698,0.46813728477198396,0.3902805119994007
22.65,-61.477045500240415,0.07514880581042717,0.4681462965859251,0.3901954984269404
22.675,-61.4312912615013,0.07553441230617233,0.46815019430725874,0.3901142944549846
22.700000000000003,-61.38556241810569,0.07592138673355714,0.4681489877369241,0.39003688515185664
22.725,-61.33985677692888,0.07630974369551963,0.4681426864234107,0.38996325578379054
22.75,-61.29417209126737,0.07669949837211579,0.4681312996568964,0.38989339181884447
22.775,-61.24850605965077,0.07709066653569807,0.4681148364632094,0.3898272789309063
22.8,-61.202856324592744,0.07748326456664338,0.4680933055976092,0.3897649030037943
22.825000000000003,-61.1572204712784,0.07787730946965735,0.46806671553837664,0.3897062501354592
22.85,-61.111596026185346,0.07827281889068326,0.4680350744802053,0.3896513066422913
22.875,-61.06598045563552,0.07866981113444506,0.467998390327387,0.3896000590635395
22.9,-61.02037116427482,0.07906830518265526,0.46795667068678,0.38955249416584564
22.925,-60.974765493477236,0.07946832071292043,0.46790992286055244,0.389508598947902
22.950000000000003,-60.92916071967021,0.07986987811837838,0.4678581538386905,0.3894683606452366
22.975,-60.88355405257763,0.08027299852810316,0.46780137029126057,0.38943176673513324
23.0,-60.83794263337685,0.08067770382831535,0.46773957856041454,0.3893988049416931
23.025,-60.792323532765685,0.08108401668443696,0.4676727846521273,0.3893694632410437
23.05,-60.746693748935485,0.08149196056403343,0.4676009942276542,0.38934372986670446
23.075000000000003,-60.70105020544576,0.08190155976068546,0.4675242125946953,0.38932159331511423
23.1,-60.65538974899591,0.08231283941883787,0.46744244469825375,0.38930304235133106
23.125,-60.609709147089234,0.08272582555967348,0.46735569511117425,0.3892880660149107
23.15,-60.564005085584206,0.08314054510806287,0.46726396802434716,0.3892766536259741
23.175,-60.51827416612757,0.0835570259206445,0.4671672672365623,0.3892687947914719
23.200000000000003,-60.472512903463745,0.08397529681509114,0.46706559614399656,0.3892644794116575
23.225,-60.426717722614505,0.0843953876006234,0.46695895772931856,0.38926369768677627
23.25,-60.38088495592267,0.08481732910983275,0.46684735455039206,0.3892664401239844
23.275,-60.335010839953156,0.08524115323188039,0.4667307887285597,0.389272697544507
23.3,-60.289091512244525,0.08566689294714304,0.46660926193648694,0.38928246109104736
23.325000000000003,-60.24312300790327,0.08609458236337882,0.4664827753855451,0.38929572223546105
23.35,-60.197101256033335,0.08652425675349261,0.4663513298127123,0.38931247278670666
23.375,-60.151022075992344,0.08695595259498291,0.46621492546696813,0.3893327048990879
23.4,-60.10488117346581,0.08738970761115783,0.46607356209515854,0.3893564110808009
23.425,-60.05867413635005,0.08782556081421304,0.4659272389273045,0.389383584202803
