time_ms,soma_mv,middle_mv,tip_mv
4.425000000000029132e+00,-6.498001044440428586e+01,-6.498189336605136646e+01,-6.498250450139261147e+01
4.450000000000029488e+00,-6.498002138539338546e+01,-6.498190175427662041e+01,-6.498251206420168558e+01
4.475000000000029843e+00,-6.498003271802708980e+01,-6.498191052799332112e+01,-6.498252001038189007e+01
4.500000000000030198e+00,-6.498004443380597195e+01,-6.498191967910429412e+01,-6.498252833196858091e+01
4.525000000000030553e+00,-6.498005652434407864e+01,-6.498192919961906000e+01,-6.498253702110150698e+01
4.550000000000030909e+00,-6.498006898136775078e+01,-6.498193908165276866e+01,-6.498254607002392902e+01
4.575000000000031264e+00,-6.498008179671450080e+01,-6.498194931742513347e+01,-6.498255547108144015e+01
4.600000000000031619e+00,-6.498009496233191840e+01,-6.498195989925935123e+01,-6.498256521672104213e+01
4.625000000000031974e+00,-6.498010847027651948e+01,-6.498197081958112165e+01,-6.498257529949007960e+01
4.650000000000032330e+00,-6.498012231271260930e+01,-6.498198207091760992e+01,-6.498258571203524525e+01
4.675000000000032685e+00,-6.498013648191123082e+01,-6.498199364589635252e+01,-6.498259644710161353e+01
4.700000000000033040e+00,-6.498015097024905629e+01,-6.498200553724429085e+01,-6.498260749753157484e+01
4.725000000000033396e+00,-6.498016577020729301e+01,-6.498201773778679069e+01,-6.498261885626392598e+01
4.750000000000033751e+00,-6.498018087437060331e+01,-6.498203024044657639e+01,-6.498263051633281862e+01
4.775000000000034106e+00,-6.498019627542603871e+01,-6.498204303824275030e+01,-6.498264247086684975e+01
4.800000000000034461e+00,-6.498021196616198836e+01,-6.498205612428982647e+01,-6.498265471308808117e+01
4.825000000000034817e+00,-6.498022793946711317e+01,-6.498206949179675007e+01,-6.498266723631104469e+01
4.850000000000035172e+00,-6.498024418832932270e+01,-6.498208313406590264e+01,-6.498268003394184689e+01
4.875000000000035527e+00,-6.498026070583470926e+01,-6.498209704449214996e+01,-6.498269309947718853e+01
4.900000000000035882e+00,-6.498027748516652480e+01,-6.498211121656187572e+01,-6.498270642650345508e+01
4.925000000000036238e+00,-6.498029451960417191e+01,-6.498212564385202938e+01,-6.498272000869576459e+01
4.950000000000036593e+00,-6.498031180252219485e+01,-6.498214032002921670e+01,-6.498273383981707241e+01
4.975000000000036948e+00,-6.498032932738925638e+01,-6.498215523884871914e+01,-6.498274791371720482e+01
5.000000000000037303e+00,-6.498034708776717139e+01,-6.498217039415355600e+01,-6.498276222433203486e+01
5.025000000000037659e+00,-6.422427222257429946e+01,-6.484060147974903998e+01,-6.493264174717022286e+01
5.050000000000038014e+00,-6.356471933869809732e+01,-6.459222223139532559e+01,-6.480600158633684771e+01
5.075000000000038369e+00,-6.296635154814548230e+01,-6.428041950740727373e+01,-6.460537795225569369e+01
5.100000000000038725e+00,-6.241161339593055857e+01,-6.393115853600355791e+01,-6.434527238694795415e+01
5.125000000000039080e+00,-6.188954986871745234e+01,-6.355931191932727842e+01,-6.404146456888639705e+01
5.150000000000039435e+00,-6.139267638249721415e+01,-6.317399641953895895e+01,-6.370722665773590876e+01
5.175000000000039790e+00,-6.091561547248686281e+01,-6.278115919607796513e+01,-6.335271331955929242e+01
5.200000000000040146e+00,-6.045442800444999421e+01,-6.238481448904930460e+01,-6.298537532345375212e+01
5.225000000000040501e+00,-6.000613575216011952e+01,-6.198769290680703392e+01,-6.261055917188848241e+01
5.250000000000040856e+00,-5.956848289326222812e+01,-6.159163828375847771e+01,-6.223204261774836255e+01
5.275000000000041211e+00,-5.913966232506818699e+01,-6.119785587775395896e+01,-6.185245111070184976e+01
5.300000000000041567e+00,-5.871824092239030790e+01,-6.080709362433039900e+01,-6.147357006533209045e+01
5.325000000000041922e+00,-5.830300190093047519e+01,-6.041976183253643029e+01,-6.109657194763258303e+01
5.350000000000042277e+00,-5.789289686025063020e+01,-6.003602178083811225e+01,-6.072218083280409928e+01
5.375000000000042633e+00,-5.748699415924632916e+01,-5.965585028072570140e+01,-6.035079177522142402e+01
5.400000000000042988e+00,-5.708439394120104993e+01,-5.927907739971021073e+01,-5.998255420049432018e+01
5.425000000000043343e+00,-5.668426914405971218e+01,-5.890542499825242828e+01,-5.961743388289404066e+01
5.450000000000043698e+00,-5.628575784111301061e+01,-5.853452005749374365e+01,-5.925525435160021459e+01
5.475000000000044054e+00,-5.588801003938129242e+01,-5.816591303357058962e+01,-5.889572699807195733e+01
5.500000000000044409e+00,-5.549016257439119926e+01,-5.779909003917538257e+01,-5.853847312401658343e+01
5.525000000000044764e+00,-5.509127090304261287e+01,-5.743346973839493330e+01,-5.818303581172852290e+01
5.550000000000045119e+00,-5.469039536516289957e+01,-5.706841631054172836e+01,-5.782889071174790985e+01
5.575000000000045475e+00,-5.428647577959799264e+01,-5.670322868896097646e+01,-5.747544903056797949e+01
5.600000000000045830e+00,-5.387840645140573059e+01,-5.633714361417471395e+01,-5.712205943082459214e+01
5.625000000000046185e+00,-5.346501166378973124e+01,-5.596933576952250178e+01,-5.676800922377438496e+01
5.650000000000046541e+00,-5.304496018428675086e+01,-5.559890134050010602e+01,-5.641251921366322364e+01
5.675000000000046896e+00,-5.261688797929404160e+01,-5.522486658741798493e+01,-5.605474259644102375e+01
5.700000000000047251e+00,-5.217919365195385950e+01,-5.484615938100572663e+01,-5.569375481945323259e+01
5.725000000000047606e+00,-5.173019822311457006e+01,-5.446161236796235272e+01,-5.532854697670023114e+01
5.750000000000047962e+00,-5.126800222618766156e+01,-5.406994302975069644e+01,-5.495801516355867733e+01
5.775000000000048317e+00,-5.079051345332997869e+01,-5.366973999698354447e+01,-5.458094828250814601e+01
5.800000000000048672e+00,-5.029540685583965143e+01,-5.325944606781762758e+01,-5.419601414208818824e+01
5.825000000000049027e+00,-4.978005030709677214e+01,-5.283733049353650557e+01,-5.380174061908284955e+01
5.850000000000049383e+00,-4.924150989472342133e+01,-5.240146722233335908e+01,-5.339649535963825144e+01
5.875000000000049738e+00,-4.867644482591990140e+01,-5.194969907787321972e+01,-5.297846009419269109e+01
5.900000000000050093e+00,-4.808105163445484465e+01,-5.147959759496503551e+01,-5.254559941682604318e+01
5.925000000000050449e+00,-4.745105306652784094e+01,-5.098842938955310444e+01,-5.209562840010570284e+01
5.950000000000050804e+00,-4.678141006864898799e+01,-5.047307659882639541e+01,-5.162596381401154844e+01
5.975000000000051159e+00,-4.606642940519110851e+01,-4.992998975713916820e+01,-5.113367428438095885e+01
6.000000000000051514e+00,-4.529951855661720117e+01,-4.935510960205108688e+01,-5.061542108492715641e+01
6.025000000000051870e+00,-4.521836543019041699e+01,-4.888334228457978270e+01,-5.011680753541739364e+01
6.050000000000052225e+00,-4.497497608324488283e+01,-4.847528870871386886e+01,-4.965955000630822269e+01
6.075000000000052580e+00,-4.460553520063491817e+01,-4.808437662238841881e+01,-4.923702259340026188e+01
6.100000000000052935e+00,-4.412567331768973844e+01,-4.768183955702560439e+01,-4.883122295861077333e+01
6.125000000000053291e+00,-4.354232596671293720e+01,-4.724979102091377570e+01,-4.842316178391870096e+01
6.150000000000053646e+00,-4.285678275401528481e+01,-4.677549846418408919e+01,-4.799628751340256372e+01
6.175000000000054001e+00,-4.206624566754448580e+01,-4.624855088017076810e+01,-4.753677511315831339e+01
6.200000000000054357e+00,-4.116427750231596860e+01,-4.565939619994558996e+01,-4.703283514119281250e+01
6.225000000000054712e+00,-4.014105168502455001e+01,-4.499846553832720986e+01,-4.647386386694035565e+01
6.250000000000055067e+00,-3.898347392978839565e+01,-4.425557148092323700e+01,-4.584967998189711835e+01
6.275000000000055422e+00,-3.767505950717646357e+01,-4.341942350926628080e+01,-4.514988301569553641e+01
6.300000000000055778e+00,-3.619567449962242023e+01,-4.247719216059758196e+01,-4.436330844770257897e+01
6.325000000000056133e+00,-3.452143221290366881e+01,-4.141413758553538571e+01,-4.347756309710366907e+01
6.350000000000056488e+00,-3.262455661762917458e+01,-4.021328799653102948e+01,-4.247862705705670550e+01
6.375000000000056843e+00,-3.047349317914852307e+01,-3.885520339120678557e+01,-4.135052624603898153e+01
6.400000000000057199e+00,-2.803353494231157939e+01,-3.731790772439433823e+01,-4.007511004872450400e+01
6.425000000000057554e+00,-2.526815504841155047e+01,-3.557709317878044430e+01,-3.863199658392616698e+01
6.450000000000057909e+00,-2.214219132292833336e+01,-3.360689196339802720e+01,-3.699883335622298119e+01
6.475000000000058265e+00,-1.862627187730081246e+01,-3.138135030080222165e+01,-3.515202604390816532e+01
6.500000000000058620e+00,-1.470465828905338057e+01,-2.887709448573646753e+01,-3.306820533191580580e+01
6.525000000000058975e+00,-1.038521861804674629e+01,-2.607737172724598196e+01,-3.072668364442316857e+01
6.550000000000059330e+00,-5.711699243876599219e+00,-2.297759873934234065e+01,-2.811310448095790804e+01
6.575000000000059686e+00,-7.741098241658237455e-01,-1.959174411396792337e+01,-2.522416754406473061e+01
6.600000000000060041e+00,4.287796860792652431e+00,-1.595800295835626059e+01,-2.207276612495601142e+01
6.625000000000060396e+00,9.294117700067999976e+00,-1.214134961104760890e+01,-1.869218964919940262e+01
6.650000000000060751e+00,1.404934464127010685e+01,-8.230680533530135179e+00,-1.513763966990935828e+01
6.675000000000061107e+00,1.837582433467945009e+01,-4.329939800652314652e+00,-1.148368650327824447e+01
6.700000000000061462e+00,2.214389432041528494e+01,-5.452084228794435994e-01,-7.817555571864699182e+00
6.725000000000061817e+00,2.528815458277643557e+01,3.028533839774760761e+00,-4.229656605824122728e+00
6.750000000000062172e+00,2.780510014633192739e+01,6.317130570711222859e+00,-8.038081717151621675e-01
6.775000000000062528e+00,2.973775078627485868e+01,9.271589345437121210e+00,2.390502100355054615e+00
6.800000000000062883e+00,3.115546760287266892e+01,1.186733900521744900e+01,5.302471973936400573e+00
